,color 1,color 2,color 3,color 4
0,#0b0b09,#d9dbda,#626260,#dec03a
1,#d7cec9,#474141,#d39b5e,#fccb00
2,#c7b7aa,#f9faf2,#4d3229,#6f7f8c
3,#fefefe,#d5c69b,#5f472d,#d61b33
4,#ffffff,#0f0d0e,#c9b6a8,#697078
5,#e7d9ce,#16120f,#78959d,#7a4e35
6,#fbfbfd,#070707,#babcc8,#565867
7,#e8e8e6,#a38668,#453c2d,#f6951c
8,#ffffff,#bdbdbf,#3e3433,#a07660
9,#bcb5a3,#f3f2f0,#140a0b,#c33618
10,#ffffff,#c9c5b9,#3b7778,#562102
11,#856b5c,#ffffff,#35030c,#cec4bb
12,#ffffff,#d4c5a4,#98825d,#502b18
13,#fefefe,#8a2334,#b99269,#05040a
14,#cfd6e0,#23262b,#9f9691,#ebcb58
15,#dbdddc,#2f2f31,#7b6d64,
16,#fefefe,#ccbe91,#715418,#241407
17,#ffffff,#99a2b1,#512701,#897a53
18,#ceb69c,#fdfdfd,#803e23,#616d92
19,#ffffff,#312f30,#8c837e,#c3bebb
20,#c1c5d1,#2e2017,#6a656c,#c2be63
21,#e9e9e9,#0d0d0d,#c3a193,#954c34
22,#dfdedc,#3d3d3f,#857c77,#af0b84
23,#a28364,#c6c1bb,#1d0200,#324d62
24,#f4f4f4,#9f9596,#392e2a,#af3e44
25,#ffffff,#cd9057,#472c1b,#adb1b3
26,#b6b1ab,#e3e9f7,#282725,#7b726d
27,#e9edee,#07080a,#b6b090,#736655
28,#fefefe,#b3aaa5,#403f45,#a3a340
29,#cdcad1,#201a1a,#94817a,#3782a8
30,#ffffff,#00111b,#94744b,#bdbdbd
31,#bfb5b6,#301e1e,#807b37,
32,#f1f2f7,#060606,#989fa7,#454c56
33,#fefefe,#c9b197,#ff192d,#735f5e
34,#e1ba91,#1b0605,#b17a44,#763905
35,#7a8696,#3c3734,#f8d0ac,#dc8e51
36,#ffffff,#b0b2ad,#0d0c0a,#6e5c5a
37,#fbfbfb,#989c85,#565a4c,#181818
38,#d8dad9,#fa6382,#2a2b30,#a76b2c
39,#ffffff,#100a0a,#c6b4a0,#864f30
40,#b8aead,#f8f9fb,#363435,#776c6a
41,#b7b8bd,#403434,#fefefe,#d08d59
42,#d3d5d0,#90918c,#4044b0,#252229
43,#ffffff,#d0b5ac,#191516,#826d69
44,#0d0302,#d3ae94,#6b5142,#fdf9ee
45,#fffaf4,#020202,#b8ada9,#4a4b52
46,#010101,#e7eaf3,#a2aebe,#373e58
47,#d0c7c2,#887e7d,#373020,#d3872b
48,#e7ded5,#ad7f5d,#181c26,#6690aa
49,#ffffff,#a09a82,#66553b,#17161c
50,#ffffff,#907363,#000000,#f6a435
51,#fdfdfd,#343434,#bbbab6,#c48454
52,#c4c4ce,#26232a,#9d897e,#2d77a3
53,#57524f,#dadcdb,#2f7da4,#908f8b
54,#ffffff,#dbc0ab,#315ca0,#7e3b1e
55,#030303,#ffffff,#666867,#b5b5b5
56,#ffffff,#e9cca4,#b88d62,#853915
57,#fdfdfd,#a48b6d,#1b1209,#955316
58,#ffffff,#0e0e0e,#898c83,#d4e89f
59,#cbbfb3,#fafafa,#3b372b,#856c56
60,#e2ddda,#997f70,#e53248,#743621
61,#fdfdfd,#0d0d0d,#aaaaaa,#514c49
62,#ffffff,#a8a7ad,#3a302f,#fde19e
63,#d7cfc4,#76716b,#d5966d,#30201a
64,#f7f8f3,#403f44,#a8a39d,#feb739
65,#ffffff,#cdbeb7,#fcc602,#a47244
66,#e4dbd2,#76716e,#333132,#fbb427
67,#b59b8e,#190f0e,#fce9e2,#a05c2d
68,#c6bdb8,#736c59,#000000,
69,#131418,#ded6cb,#3a5c75,#ac9576
70,#b3b3b5,#ffffff,#051932,#736558
71,#cccccc,#0b0c07,#6a605e,#6897b9
72,#fefefe,#b5b0ad,#161511,#b2884c
73,#ffffff,#492e23,#8d7e61,#ddc4ae
74,#e2e4e3,#313236,#b69a82,#505c96
75,#caa980,#fdfdfd,#634425,
76,#e8e6e9,#000000,#645b52,#95989d
77,#dfd1c4,#c0927b,#833205,#4e925a
78,#2c2c2c,#eeeeee,#988a7d,#9f8f18
79,#c7c0ae,#ad8353,#31281f,
80,#ededed,#101010,#979797,#715249
81,#bca293,#736767,#d13342,#0b0b0b
82,#e1dbdb,#a08d7f,#6f5439,#17181d
83,#efedee,#db5f69,#292535,#a06dcd
84,#e3cfb4,#1c1c1c,#c8763e,#64758a
85,#7e6455,#d6cdc8,#2c0309,#fdd566
86,#ecebf0,#e4b694,#fe5b01,#6d6987
87,#28405c,#020204,#bcb5ab,#7ca73a
88,#293424,#bbc9b0,#ffffff,#7a8e72
89,#93a78b,#4e6246,#e2e2e2,#081c00
90,#3d5d8c,#afadbb,#252837,#f6f8fa
91,#125b7c,#747474,#0d171f,#bfbabd
92,#3b5260,#c8e0ec,#7e9db2,
93,#799e8c,#31523f,#f7f9f8,#000000
94,#303924,#ffffff,#d0c0a7,#787870
95,#6d765b,#aba6a3,#1b1714,#ffffff
96,#edeef0,#161922,#4d5c71,#b3b1b2
97,#ecf0f3,#2c2f36,#9ea1a8,#8f5232
98,#fcfcfc,#121315,#c8b2a5,#5f695e
99,#ffffff,#1f1d20,#a8595e,#e09aa2
